"numcas"                                             ;"nomsa"                                 ;"classref"                                                           ;"classdate" ;"classcatdanger"                                                                                            ;"classcodeh" ;"classmentiondanger"                                                                                       ;"facteurmvaleur" ;"facteurmorigine" ;"facteurmdate"
"90717-03-6"                                         ;"Quinmerac"                              ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;14/01/20          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;1                  ;"ANSES"             ;21/05/19
"90717-03-6"                                         ;"Quinmerac"                              ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;14/01/20          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;1                  ;"ANSES"             ;21/05/19
"2797-51-5"                                          ;"quinoclamine"                           ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Irritation oculaire, categorie 2"                                                                                       ;"H319"              ;"Provoque une severe irritation des yeux"                                                                         ;                   ;""                  ;
"2797-51-5"                                          ;"quinoclamine"                           ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Toxicite specifique pour certains organes cibles - Exposition repetee, categorie 2"                                     ;"H373"              ;"Risque presume d'effets graves pour les organes  la suite d'expositions repetees ou d'une exposition prolongee" ;                   ;""                  ;
"2797-51-5"                                          ;"quinoclamine"                           ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Toxicite pour la reproduction, categorie 2(d)"                                                                          ;"H361d"             ;"Susceptible de nuire au foetus"                                                                                  ;                   ;""                  ;
"2797-51-5"                                          ;"quinoclamine"                           ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;                   ;""                  ;
"2797-51-5"                                          ;"quinoclamine"                           ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;                   ;""                  ;
"2797-51-5"                                          ;"quinoclamine"                           ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"2797-51-5"                                          ;"quinoclamine"                           ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"100646-51-3"                                        ;"quizalofop-P-ethyl"                     ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;10                 ;"ANSES"             ;16/04/13
"100646-51-3"                                        ;"quizalofop-P-ethyl"                     ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10                 ;"ANSES"             ;16/04/13
"100646-51-3"                                        ;"quizalofop-P-ethyl"                     ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"122931-48-0"                                        ;"rimsulfuron"                            ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;100                ;"ANSES"             ;30/05/13
"122931-48-0"                                        ;"rimsulfuron"                            ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;100                ;"ANSES"             ;30/05/13
"874967-67-6"                                        ;"sedaxane"                               ;"	Classement adapte par leANSES selon les regles de traduction du reglement CLP" ;21/01/20          ;"Cancerogenicite, categorie 2"                                                                                           ;"H351"              ;"Susceptible de provoquer le cancer"                                                                              ;                   ;""                  ;
"874967-67-6"                                        ;"sedaxane"                               ;"	Classement adapte par leANSES selon les regles de traduction du reglement CLP" ;21/01/20          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;1                  ;"ANSES"             ;19/03/13
"874967-67-6"                                        ;"sedaxane"                               ;"	Classement adapte par leANSES selon les regles de traduction du reglement CLP" ;21/01/20          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 2"                                                       ;"H411"              ;"Toxique pour les organismes aquatiques, entraene des effets  long terme"                                        ;                   ;"ANSES"             ;19/03/13
"175217-20-6"                                        ;"silthiofam"                             ;"Reglement (UE) Ne2020/1182 (15e ATP au Reglement 1272/2008)"                    ;19/05/20          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 2"                                                       ;"H411"              ;"Toxique pour les organismes aquatiques, entraene des effets  long terme"                                        ;                   ;""                  ;
"175217-20-6"                                        ;"silthiofam"                             ;"Reglement (UE) Ne2020/1182 (15e ATP au Reglement 1272/2008)"                    ;19/05/20          ;"Toxicite specifique pour certains organes cibles - Exposition repetee, categorie 2"                                     ;"H373"              ;"Risque presume d'effets graves pour les organes  la suite d'expositions repetees ou d'une exposition prolongee" ;                   ;""                  ;
"130561-48-7"                                        ;"sintofen"                               ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Cancerogenicite, categorie 2"                                                                                           ;"H351"              ;"Susceptible de provoquer le cancer"                                                                              ;                   ;""                  ;
"130561-48-7"                                        ;"sintofen"                               ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Dangers pour le milieu aquatique - Danger chronique, categorie 2"                                                       ;"H411"              ;"Toxique pour les organismes aquatiques, entraene des effets  long terme"                                        ;                   ;""                  ;
"87392-12-9"                                         ;"s-metolachlore"                         ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;                   ;""                  ;
"87392-12-9"                                         ;"s-metolachlore"                         ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"87392-12-9"                                         ;"s-metolachlore"                         ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;                   ;""                  ;
"7704-34-9"                                          ;"soufre"                                 ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Irritant pour la peau, categorie 2"                                                                                     ;"H315"              ;"Provoque une irritation cutanee"                                                                                 ;                   ;""                  ;
"935545-74-7 (Spinetoram)"                           ;"spinetoram"                             ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;15/03/16          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;1                  ;"ANSES"             ;18/03/16
"935545-74-7 (Spinetoram)"                           ;"spinetoram"                             ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;15/03/16          ;"Toxicite pour la reproduction, categorie 2(f)"                                                                          ;"H361f"             ;"Susceptible de nuire  la fertilite "                                                                            ;                   ;""                  ;
"935545-74-7 (Spinetoram)"                           ;"spinetoram"                             ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;15/03/16          ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"935545-74-7 (Spinetoram)"                           ;"spinetoram"                             ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;15/03/16          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;1000               ;"ANSES"             ;18/03/16
"935545-74-7 (Spinetoram)"                           ;"spinetoram"                             ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;15/03/16          ;"Toxicite specifique pour certains organes cibles - Exposition repetee, categorie 2"                                     ;"H373"              ;"Risque presume d'effets graves pour les organes  la suite d'expositions repetees ou d'une exposition prolongee" ;                   ;""                  ;
"168316-95-8"                                        ;"spinosad"                               ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;10                 ;"UE"                ;10/11/16
"168316-95-8"                                        ;"spinosad"                               ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10                 ;"UE"                ;10/11/16
"148477-71-8"                                        ;"spirodiclofen"                          ;"Reglement (UE) Ne2018/1480 (13e ATP au Reglement 1272/2008)"                    ;04/10/18          ;"Toxicite specifique pour certains organes cibles - Exposition repetee, categorie 2"                                     ;"H373"              ;"Risque presume d'effets graves pour les organes  la suite d'expositions repetees ou d'une exposition prolongee" ;                   ;""                  ;
"148477-71-8"                                        ;"spirodiclofen"                          ;"Reglement (UE) Ne2018/1480 (13e ATP au Reglement 1272/2008)"                    ;04/10/18          ;"Toxicite pour la reproduction, categorie 2(f)"                                                                          ;"H361f"             ;"Susceptible de nuire  la fertilite "                                                                            ;                   ;""                  ;
"148477-71-8"                                        ;"spirodiclofen"                          ;"Reglement (UE) Ne2018/1480 (13e ATP au Reglement 1272/2008)"                    ;04/10/18          ;"Sensibilisation cutanee, categorie 1B"                                                                                  ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"148477-71-8"                                        ;"spirodiclofen"                          ;"Reglement (UE) Ne2018/1480 (13e ATP au Reglement 1272/2008)"                    ;04/10/18          ;"Cancerogenicite, categorie 1B"                                                                                          ;"H350"              ;"Peut provoquer le cancer"                                                                                        ;                   ;""                  ;
"148477-71-8"                                        ;"spirodiclofen"                          ;"Reglement (UE) Ne2018/1480 (13e ATP au Reglement 1272/2008)"                    ;04/10/18          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10                 ;"UE"                ;04/10/18
"203313-25-1"                                        ;"spirotetramate"                         ;"Reglement (UE) Ne2015/1221 (7e ATP au Reglement 1272/2008)"                     ;24/07/15          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;1                  ;"UE"                ;24/07/15
"203313-25-1"                                        ;"spirotetramate"                         ;"Reglement (UE) Ne2015/1221 (7e ATP au Reglement 1272/2008)"                     ;24/07/15          ;"Irritation oculaire, categorie 2"                                                                                       ;"H319"              ;"Provoque une severe irritation des yeux"                                                                         ;                   ;""                  ;
"203313-25-1"                                        ;"spirotetramate"                         ;"Reglement (UE) Ne2015/1221 (7e ATP au Reglement 1272/2008)"                     ;24/07/15          ;"Sensibilisation cutanee, categorie 1A"                                                                                  ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"203313-25-1"                                        ;"spirotetramate"                         ;"Reglement (UE) Ne2015/1221 (7e ATP au Reglement 1272/2008)"                     ;24/07/15          ;"Toxicite pour la reproduction, categorie 2(fd)"                                                                         ;"H361fd"            ;"Susceptible de nuire  la fertilite. Susceptible de nuire au foetus"                                             ;                   ;""                  ;
"203313-25-1"                                        ;"spirotetramate"                         ;"Reglement (UE) Ne2015/1221 (7e ATP au Reglement 1272/2008)"                     ;24/07/15          ;"Toxicite specifique pour certains organes cibles - Exposition unique - Irritation des voies respiratoires, categorie 3" ;"H335"              ;"Peut irriter les voies respiratoires"                                                                            ;                   ;""                  ;
"203313-25-1"                                        ;"spirotetramate"                         ;"Reglement (UE) Ne2015/1221 (7e ATP au Reglement 1272/2008)"                     ;24/07/15          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;1                  ;"UE"                ;24/07/15
"118134-30-8"                                        ;"spiroxamine"                            ;"Reglement (UE) Ne2017/776 (10e ATP au Reglement 1272/2008)"                     ;04/05/17          ;"Toxicite specifique pour certains organes cibles - Exposition repetee, categorie 2"                                     ;"H373"              ;"Risque presume d'effets graves pour les organes  la suite d'expositions repetees ou d'une exposition prolongee" ;                   ;""                  ;
"118134-30-8"                                        ;"spiroxamine"                            ;"Reglement (UE) Ne2017/776 (10e ATP au Reglement 1272/2008)"                     ;04/05/17          ;"Toxicite pour la reproduction, categorie 2(d)"                                                                          ;"H361d"             ;"Susceptible de nuire au foetus"                                                                                  ;                   ;""                  ;
"118134-30-8"                                        ;"spiroxamine"                            ;"Reglement (UE) Ne2017/776 (10e ATP au Reglement 1272/2008)"                     ;04/05/17          ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"118134-30-8"                                        ;"spiroxamine"                            ;"Reglement (UE) Ne2017/776 (10e ATP au Reglement 1272/2008)"                     ;04/05/17          ;"Toxicite aigue (par voie cutanee), categorie 4"                                                                         ;"H312"              ;"Nocif par contact cutane"                                                                                        ;                   ;""                  ;
"118134-30-8"                                        ;"spiroxamine"                            ;"Reglement (UE) Ne2017/776 (10e ATP au Reglement 1272/2008)"                     ;04/05/17          ;"Toxicite aigue (par inhalation), categorie 4"                                                                           ;"H332"              ;"Nocif par inhalation"                                                                                            ;                   ;""                  ;
"118134-30-8"                                        ;"spiroxamine"                            ;"Reglement (UE) Ne2017/776 (10e ATP au Reglement 1272/2008)"                     ;04/05/17          ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"118134-30-8"                                        ;"spiroxamine"                            ;"Reglement (UE) Ne2017/776 (10e ATP au Reglement 1272/2008)"                     ;04/05/17          ;"Irritant pour la peau, categorie 2"                                                                                     ;"H315"              ;"Provoque une irritation cutanee"                                                                                 ;                   ;""                  ;
"118134-30-8"                                        ;"spiroxamine"                            ;"Reglement (UE) Ne2017/776 (10e ATP au Reglement 1272/2008)"                     ;04/05/17          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;100                ;"UE"                ;04/05/17
"118134-30-8"                                        ;"spiroxamine"                            ;"Reglement (UE) Ne2017/776 (10e ATP au Reglement 1272/2008)"                     ;04/05/17          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;100                ;"UE"                ;04/05/17
"99105-77-8"                                         ;"sulcotrione"                            ;"Reglement (UE) Ne944/2013 (5e ATP au Reglement 1272/2008)"                      ;02/10/13          ;"Toxicite specifique pour certains organes cibles - Exposition repetee, categorie 2"                                     ;"H373"              ;"Risque presume d'effets graves pour les organes  la suite d'expositions repetees ou d'une exposition prolongee" ;                   ;""                  ;
"99105-77-8"                                         ;"sulcotrione"                            ;"Reglement (UE) Ne944/2013 (5e ATP au Reglement 1272/2008)"                      ;02/10/13          ;"Toxicite pour la reproduction, categorie 2(d)"                                                                          ;"H361d"             ;"Susceptible de nuire au foetus"                                                                                  ;                   ;""                  ;
"99105-77-8"                                         ;"sulcotrione"                            ;"Reglement (UE) Ne944/2013 (5e ATP au Reglement 1272/2008)"                      ;02/10/13          ;"Sensibilisation cutanee, categorie 1A"                                                                                  ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"99105-77-8"                                         ;"sulcotrione"                            ;"Reglement (UE) Ne944/2013 (5e ATP au Reglement 1272/2008)"                      ;02/10/13          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10                 ;"UE"                ;02/10/13
"99105-77-8"                                         ;"sulcotrione"                            ;"Reglement (UE) Ne944/2013 (5e ATP au Reglement 1272/2008)"                      ;02/10/13          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;1                  ;"UE"                ;02/10/13
"7782-63-0"                                          ;"sulfate de fer"                         ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"7782-63-0"                                          ;"sulfate de fer"                         ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Irritant pour la peau, categorie 2"                                                                                     ;"H315"              ;"Provoque une irritation cutanee"                                                                                 ;                   ;""                  ;
"7782-63-0"                                          ;"sulfate de fer"                         ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Irritation oculaire, categorie 2"                                                                                       ;"H319"              ;"Provoque une severe irritation des yeux"                                                                         ;                   ;""                  ;
"141776-32-1"                                        ;"Sulfosulfuron"                          ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;1000               ;"UE"                ;
"141776-32-1"                                        ;"Sulfosulfuron"                          ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;1000               ;"UE"                ;
"102851-06-9"                                        ;"tau-fluvalinate"                        ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;10000              ;"ANSES"             ;14/05/13
"102851-06-9"                                        ;"tau-fluvalinate"                        ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"102851-06-9"                                        ;"tau-fluvalinate"                        ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Irritant pour la peau, categorie 2"                                                                                     ;"H315"              ;"Provoque une irritation cutanee"                                                                                 ;                   ;""                  ;
"102851-06-9"                                        ;"tau-fluvalinate"                        ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;1000               ;"ANSES"             ;14/05/13
"107534-96-3"                                        ;"tebuconazole"                           ;"Reglement (UE) Ne2015/1221 (7e ATP au Reglement 1272/2008)"                     ;24/07/15          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10                 ;"UE"                ;24/07/15
"107534-96-3"                                        ;"tebuconazole"                           ;"Reglement (UE) Ne2015/1221 (7e ATP au Reglement 1272/2008)"                     ;24/07/15          ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"107534-96-3"                                        ;"tebuconazole"                           ;"Reglement (UE) Ne2015/1221 (7e ATP au Reglement 1272/2008)"                     ;24/07/15          ;"Toxicite pour la reproduction, categorie 2(d)"                                                                          ;"H361d"             ;"Susceptible de nuire au foetus"                                                                                  ;                   ;""                  ;
"107534-96-3"                                        ;"tebuconazole"                           ;"Reglement (UE) Ne2015/1221 (7e ATP au Reglement 1272/2008)"                     ;24/07/15          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;1                  ;"UE"                ;24/07/15
"112410-23-8"                                        ;"tebufenozide"                           ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 2"                                                       ;"H411"              ;"Toxique pour les organismes aquatiques, entraene des effets  long terme"                                        ;                   ;""                  ;
"119168-77-3"                                        ;"tebufenpyrad"                           ;"Reglement (UE) Ne944/2013 (5e ATP au Reglement 1272/2008)"                      ;02/10/13          ;"Toxicite aigue (par voie orale), categorie 3"                                                                           ;"H301"              ;"Toxique en cas d'ingestion"                                                                                      ;                   ;""                  ;
"119168-77-3"                                        ;"tebufenpyrad"                           ;"Reglement (UE) Ne944/2013 (5e ATP au Reglement 1272/2008)"                      ;02/10/13          ;"Toxicite specifique pour certains organes cibles - Exposition repetee, categorie 2"                                     ;"H373"              ;"Risque presume d'effets graves pour les organes  la suite d'expositions repetees ou d'une exposition prolongee" ;                   ;""                  ;
"119168-77-3"                                        ;"tebufenpyrad"                           ;"Reglement (UE) Ne944/2013 (5e ATP au Reglement 1272/2008)"                      ;02/10/13          ;"Toxicite aigue (par inhalation), categorie 4"                                                                           ;"H332"              ;"Nocif par inhalation"                                                                                            ;                   ;""                  ;
"119168-77-3"                                        ;"tebufenpyrad"                           ;"Reglement (UE) Ne944/2013 (5e ATP au Reglement 1272/2008)"                      ;02/10/13          ;"Sensibilisation cutanee, categorie 1B"                                                                                  ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"119168-77-3"                                        ;"tebufenpyrad"                           ;"Reglement (UE) Ne944/2013 (5e ATP au Reglement 1272/2008)"                      ;02/10/13          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10                 ;"UE"                ;02/10/13
"119168-77-3"                                        ;"tebufenpyrad"                           ;"Reglement (UE) Ne944/2013 (5e ATP au Reglement 1272/2008)"                      ;02/10/13          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;10                 ;"UE"                ;02/10/13
"83121-18-0"                                         ;"teflubenzuron"                          ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;                  ;"Sans classement"                                                                                                        ;"Sans classement"   ;"Sans classement"                                                                                                 ;                   ;""                  ;
"79538-32-2"                                         ;"tefluthrine"                            ;"Reglement (UE) Ne2017/776 (10e ATP au Reglement 1272/2008)"                     ;04/05/17          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;10000              ;"UE"                ;04/05/17
"79538-32-2"                                         ;"tefluthrine"                            ;"Reglement (UE) Ne2017/776 (10e ATP au Reglement 1272/2008)"                     ;04/05/17          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10000              ;"UE"                ;04/05/17
"79538-32-2"                                         ;"tefluthrine"                            ;"Reglement (UE) Ne2017/776 (10e ATP au Reglement 1272/2008)"                     ;04/05/17          ;"Toxicite aigue (par inhalation), categorie 1"                                                                           ;"H330"              ;"Mortel par inhalation"                                                                                           ;                   ;""                  ;
"79538-32-2"                                         ;"tefluthrine"                            ;"Reglement (UE) Ne2017/776 (10e ATP au Reglement 1272/2008)"                     ;04/05/17          ;"Toxicite aigue (par voie cutanee), categorie 2"                                                                         ;"H310"              ;"Mortel par contact cutane"                                                                                       ;                   ;""                  ;
"79538-32-2"                                         ;"tefluthrine"                            ;"Reglement (UE) Ne2017/776 (10e ATP au Reglement 1272/2008)"                     ;04/05/17          ;"Toxicite aigue (par voie orale), categorie 2"                                                                           ;"H300"              ;"Mortel en cas d'ingestion"                                                                                       ;                   ;""                  ;
"335104-84-2"                                        ;"tembotrione"                            ;"Reglement (UE) Ne2015/1221 (7e ATP au Reglement 1272/2008)"                     ;24/07/15          ;"Toxicite specifique pour certains organes cibles - Exposition repetee, categorie 2"                                     ;"H373"              ;"Risque presume d'effets graves pour les organes  la suite d'expositions repetees ou d'une exposition prolongee" ;                   ;""                  ;
"335104-84-2"                                        ;"tembotrione"                            ;"Reglement (UE) Ne2015/1221 (7e ATP au Reglement 1272/2008)"                     ;24/07/15          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;100                ;"ANSES"             ;17/09/13
"335104-84-2"                                        ;"tembotrione"                            ;"Reglement (UE) Ne2015/1221 (7e ATP au Reglement 1272/2008)"                     ;24/07/15          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10                 ;"ANSES"             ;17/09/13
"335104-84-2"                                        ;"tembotrione"                            ;"Reglement (UE) Ne2015/1221 (7e ATP au Reglement 1272/2008)"                     ;24/07/15          ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"335104-84-2"                                        ;"tembotrione"                            ;"Reglement (UE) Ne2015/1221 (7e ATP au Reglement 1272/2008)"                     ;24/07/15          ;"Toxicite pour la reproduction, categorie 2(d)"                                                                          ;"H361d"             ;"Susceptible de nuire au foetus"                                                                                  ;                   ;""                  ;
"5915-41-3"                                          ;"terbuthylazine"                         ;"Reglement (UE) Ne2017/776 (10e ATP au Reglement 1272/2008)"                     ;04/05/17          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;10                 ;"UE"                ;04/05/17
"5915-41-3"                                          ;"terbuthylazine"                         ;"Reglement (UE) Ne2017/776 (10e ATP au Reglement 1272/2008)"                     ;04/05/17          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10                 ;"UE"                ;04/05/17
